Date,Trips,Miles,AnnualMember,24HourPasses,7DayPasses,Temp,Precip
5/27/13,9795,27969.69,111,0,0,73.04,0
5/28/13,5215,16861.95,22,0,0,68,132
5/29/13,10981,36760.47,79,0,0,82.04,0
5/30/13,9850,47006.02,168,0,0,89.96,0
5/31/13,9253,44902.41,488,0,0,89.96,0
6/1/13,9852,47498.85,2165,0,0,89.96,0
6/2/13,17590,70659.35,4723,4723,289,87.98,216
6/3/13,8599,31547.41,1160,1160,221,78.08,221
6/4/13,17589,106170.69,2922,2922,394,75.02,0
6/5/13,17433,84370.07,2821,2821,279,73.94,0
6/6/13,13732,46772.57,1872,1872,210,69.98,33
6/7/13,1393,3307.2,66,66,11,62.96,1057
6/8/13,19899,65022.25,5013,5013,230,77,122
6/9/13,23236,85115.3,5772,5772,275,80.06,0
6/10/13,4504,17306.08,290,290,82,69.98,351
6/11/13,14638,39973.38,1836,1836,273,80.06,23
6/12/13,18960,53738.33,2767,2767,316,75.92,0
6/13/13,8782,19604.96,701,701,119,69.08,320
6/14/13,16423,38374.15,2268,2268,211,71.96,97
6/15/13,27276,76630.06,6107,6107,319,80.06,0
6/16/13,23610,64453.79,4413,4413,314,80.06,0
6/17/13,21278,45058.23,2378,2378,530,84.02,3
6/18/13,14826,28597.85,1236,1236,277,84.02,51
6/19/13,26267,60836.02,2678,2678,607,77,0
6/20/13,28994,62228.55,2814,2814,421,80.06,0
6/21/13,30660,65779.86,3465,3465,408,82.04,0
6/22/13,31885,81880.1,5902,5902,383,84.02,0
6/23/13,30653,80836.21,4959,4959,279,87.98,0
6/24/13,26636,51690.91,1844,1844,386,91.94,0
6/25/13,30426,56243.01,1937,1937,343,91.04,0
6/26/13,32322,59763.58,2000,2000,301,84.92,13
6/27/13,28094,55252.08,1680,1680,223,86,61
6/28/13,30595,59112.29,2268,2268,291,84.92,0
6/29/13,32947,76969.88,4895,4895,296,82.94,0
6/30/13,27284,62610.94,3592,3592,178,86,0
7/1/13,20151,36872.21,846,846,167,77,213
7/2/13,26682,49298.09,1435,1435,219,82.04,20
7/3/13,25509,48146.35,1419,1419,189,82.94,135
7/4/13,26004,64057.02,4219,4219,257,87.08,0
7/5/13,25541,53649.01,2803,2803,215,89.96,0
7/6/13,23697,54461.08,3178,3178,172,91.94,0
7/7/13,23688,52295.37,2703,2703,186,91.94,0
7/8/13,26063,61590.26,1453,1453,321,89.06,56
7/9/13,30929,58285.89,1379,1379,287,87.98,58
7/10/13,30705,54589.46,1435,1435,223,84.92,0
7/11/13,29689,56229.49,1478,1478,196,84.02,0
7/12/13,22817,40565.31,1096,1096,118,77,64
7/13/13,30132,65591.26,3285,3285,213,80.96,15
7/14/13,33545,76520.29,3681,3681,224,89.96,0
7/15/13,32565,58377.04,1382,1382,273,93.92,0
7/16/13,34757,61412.75,1288,1288,251,93.92,0
7/17/13,35172,60645.27,1303,1303,201,96.98,0
7/18/13,33222,56408.59,1094,1094,143,98.06,0
7/19/13,30667,52643.81,1389,1389,164,96.08,0
7/20/13,29145,61293.03,2811,2811,169,93.02,0
7/21/13,34694,76105.5,3502,3502,191,89.06,0
7/22/13,29778,51578.74,1005,1005,184,86,15
7/23/13,36694,69586.3,1390,1390,220,87.08,79
7/24/13,39947,74591.45,1708,1708,211,82.94,0
7/25/13,35454,62995.26,1163,1163,144,68,3
7/26/13,38767,72604.91,2073,2073,176,82.94,0
7/27/13,36441,82719.26,4259,4259,197,82.04,0
7/28/13,26318,54930.66,2391,2391,137,78.08,61
7/29/13,39177,73525.17,1712,1712,275,84.92,3
7/30/13,42032,79312.12,1701,1701,237,82.94,0
7/31/13,41829,77455.5,1692,1692,186,82.94,0
8/1/13,22618,36087.96,415,415,73,75.92,165
